num_nodes,average_hops
10,2.5875
20,2.6875
30,3.40417
40,3.35625
50,3.6725
60,3.7375
70,3.86964
80,3.89844
90,4.04583
100,4.12375
110,4.14659
120,4.19896
130,4.27308
140,4.36696
150,4.4375
160,4.4375
170,4.62059
180,4.55
190,4.53947
200,4.6675
210,4.5875
220,4.69886
230,4.8413
240,4.77448
250,4.864
260,4.88365
270,4.89676
280,4.90134
290,4.89784
300,4.96792
310,4.95081
320,5.00391
330,5.00114
340,5.00809
350,5.11286
360,5.03819
370,5.06892
380,5.14112
390,5.17981
400,5.15594
410,5.28049
420,5.26429
430,5.12907
440,5.19602
450,5.23
460,5.31766
470,5.28404
480,5.27135
490,5.33673
500,5.30325
510,5.27672
520,5.36659
530,5.38302
540,5.38681
550,5.3825
560,5.39241
570,5.42522
580,5.46099
590,5.45148
600,5.47312
610,5.43709
620,5.48387
630,5.4506
640,5.51094
650,5.52808
660,5.60587
670,5.58675
680,5.58015
690,5.56322
700,5.57857
710,5.58275
720,5.60382
730,5.62158
